No errors
No warnings
21 ms
data source=aircraftreports
352 results
receipt_time,observation_time,mid_point_assumed,no_time_stamp,flt_lvl_range,above_ground_level_indicated,no_flt_lvl,bad_location,aircraft_ref,latitude,longitude,altitude_ft_msl,sky_cover,cloud_base_ft_msl,cloud_top_ft_msl,sky_cover,cloud_base_ft_msl,cloud_top_ft_msl,turbulence_type,turbulence_intensity,turbulence_base_ft_msl,turbulence_top_ft_msl,turbulence_freq,turbulence_type,turbulence_intensity,turbulence_base_ft_msl,turbulence_top_ft_msl,turbulence_freq,icing_type,icing_intensity,icing_base_ft_msl,icing_top_ft_msl,icing_type,icing_intensity,icing_base_ft_msl,icing_top_ft_msl,visibility_statute_mi,wx_string,temp_c,wind_dir_degrees,wind_speed_kt,vert_gust_kt,report_type,raw_text
2019-05-11T18:55:37Z,2019-05-11T18:55:00Z,,,,,,,AFR378,53.75,-51.0167,34000,,,,,,,,,,,,,,,,,,,,,,,,,,,-47,345,21,,AIREP,ARP AFR378 5345N05101W 1855 F340 NEEKO 1918 4908N06813W MS47 345/21 KT FHRBD DDL YAY 111855 L60A ,
2019-05-11T18:55:24Z,2019-05-11T18:55:00Z,,,,,,,MSR996,48.3,-54.85,33000,,,,,,,,,,,,,,,,,,,,,,,,,,,-53,284,48,,AIREP,ARP MSR996 4818N05451W 1855 F330 JOOPY 1908 4900N05000W MS53 284/48 KT SUGDN DDL YQX 111855 F28A ,
2019-05-11T18:55:24Z,2019-05-11T18:55:00Z,,,,,,,DLH404,52.1833,-25.1333,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,-57,209,89,,AIREP,ARP DLH404 5211N02508W 1855 F360 5302N03000W 1919 5302N04000W MS57 209/89 KT DABYJ DDL XXF 111855 F45A ,
2019-05-11T18:55:19Z,2019-05-11T18:54:00Z,,,,,,,AAL719,49.1,-35.9167,36000,,,,,,,,,,,,,,,,,,,,,,,,,,,-42,188,42,,AIREP,ARP AAL719 4906N03555W 1854 F360 4900N04000W 1915 4800N05000W MS42 188/42 KT N275AY DDL XXF 111855 J53A ,
2019-05-11T18:55:19Z,2019-05-11T18:54:00Z,,,,,,,THY6568,47.8833,-31.5,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-54,187,147,,AIREP,ARP THY6568 4753N03130W 1854 F350 4759N03000W 1901 4759N02000W MS54 187/147 KT N402KZ DDL IG1 111854 F85A ,
2019-05-11T18:54:34Z,2019-05-11T18:54:00Z,,,,,,,DLH8P,54.1167,-37.1833,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-45,158,34,,AIREP,ARP DLH8P 5407N03711W 1854 F390 5402N04000W 1906 5302N05001W MS45 158/34 KT DAIHI DDL XXN 111854 J74A ,
2019-05-11T18:54:27Z,2019-05-11T18:54:00Z,,,,,,,VIR23J,62.9833,-50.2167,38000,,,,,,,,,,,,,,,,,,,,,,,,,,,-48,14,20,,AIREP,ARP VIR23J 6259N05013W 1854 F380 LIBOR 1920 JELCO MS48 014/20 KT GVNEW DDL XXH 111854 L85A ,
2019-05-11T18:54:27Z,2019-05-11T18:54:00Z,,,,,,,BAW189,55.0667,-30.8667,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-54,311,68,,AIREP,ARP BAW189 5504N03052W 1854 F390 5502N04000W 1932 5402N05001W MS54 311/68 KT GZBJJ QXT EUA 111854 L22A ,
2019-05-11T18:54:27Z,2019-05-11T18:54:00Z,,,,,,,CSN300,59.8167,-59.0167,29000,,,,,,,,,,,,,,,,,,,,,,,,,,,-45,27,34,,AIREP,ARP CSN300 5949N05901W 1854 F290 PIDSO 1900 6600N05000W MS45 027/34 KT B2099 DDL YHO 111854 F21A ,
2019-05-11T18:54:26Z,2019-05-11T18:54:00Z,,,,,,,CFC4002,60.7333,-43.55,35000,,,,,,,,,,,,,,,,,,,,,,,,,,,-47,,,,AIREP,ARP CFC4002 6044N04333W 1854 F350 6000N05000W 1920 URTAK MS47 352/7 KT 77703A QXT AOE 111854 F13A ,
2019-05-11T18:54:12Z,2019-05-11T18:53:00Z,,,,,,,KLM166,56.1333,-34.4667,30000,,,,,,,,,,,,,,,,,,,,,,,,,,,-45,143,51,,AIREP,ARP KLM166 5608N03428W 1853 F300 5602N04000W 1915 5502N05001W MS45 143/51 KT PHBVS QXT AME 111853 F29A ,
2019-05-11T18:53:58Z,2019-05-11T18:53:00Z,,,,,,,AZA65X,53.0167,-40.0167,39000,,,,,,,,,,,,,,,,,,,,,,,,,,,-45,140,22,,AIREP,ARP AZA65X 5301N04001W 1853 F390 5201N05001W 1939 5111N05315W MS45 140/22 KT EIEJK QXT AME 111853 J76A ,
